,role,company,when_posted,sector,industry,region,district,salary,summary
136,Data Warehousing and BI Developer,"Ministry of Business, Innovation and Employment",6d ago,Information & Communication Technology,Developers/Programmers,Wellington,Wellington Central,,"People are at the heart of our mahi, we are committed to creating a safe, trsuting, inclusive workplace where our people can thrive"
137,Economic Intelligence Analyst,Tātaki Auckland Unlimited,7d ago,"Advertising, Arts & Media",Other,Auckland,Auckland Central,,Great opportunity to join the team.
138,Data Analyst,JLL,22d ago,Information & Communication Technology,Business/Systems Analysts,Auckland,Auckland Central,,"Exciting opportunity to join the JLL team, drive data quality of subsystems and enhance business systems"
139,Performance Analyst,Department of Corrections,8d ago,Accounting,Analysis & Reporting,Wellington,Wellington Central,,"Do you enjoy a fast-paced and rewarding environment? Do you have proven analysis, performance monitoring and reporting skills? Then read on!"
140,Senior Data and Insight Analyst (Work Remotely),Contact Energy,10d ago,Information & Communication Technology,Database Development & Administration,Wellington,Wellington Central,,"Our purpose is to put our energy where it matters, to decarbonise the New Zealand energy sector and promote #changematters."
141,Data Analyst - Graduate Role,Cushman and Wakefield NZ,18d ago,Information & Communication Technology,Business/Systems Analysts,Auckland,Auckland Central,Base Payrate + Kiwisaver + Benefits Package,"Under the guidance of the Head of Reporting & Analytics, you will support the business to make insightful decisions"
142,Inventory analyst,Waikato District Health Board,6d ago,"Manufacturing, Transport & Logistics","Purchasing, Procurement & Inventory",Waikato,Hamilton,,"You will be part of a team who manage the stock on hand, ensure the integrity of the inventory value, and improve inventory management processes."
143,Analyst Programmer,2DHB,9d ago,Information & Communication Technology,Developers/Programmers,Wellington,Wellington Central,,Analyst Programmer
144,Reporting Analyst,Protocol Personnel Services Ltd,13d ago,Information & Communication Technology,Business/Systems Analysts,Auckland,Auckland Central,,"Step into this fabulous new Business Reporting Analyst role, be part of the in-house IS team for a NFP that serve the community. Make your mark!"
145,Product Analyst,Westpac,6d ago,Information & Communication Technology,Product Management & Development,Auckland,Auckland Central,,Have you recently graduated? Looking for your first role in banking and/or product? Then apply now!
146,Intermediate and Junior Data Engineers,Plexure Limited,9d ago,Information & Communication Technology,Engineering - Software,Auckland,Auckland Central,"+ training budget, health insurance and more!",You will join a friendly and collaborative team of experienced Data Engineers who are always happy to help and coach you.Wfh options.
147,Kaitātari/Kaitātari Matua | Analysts/Senior Analysts - Climate Change,Ministry for the Environment,10h ago,Government & Defence,"Policy, Planning & Regulation",Gisborne,Gisborne,,Seeking a number of Analysts and Senior Analysts with quantitative skills
148,Senior BI Developer,Recruit I.T. Auckland,3d ago,Information & Communication Technology,Developers/Programmers,Auckland,Auckland Central,,I've placed a couple BI specialists at this renowned NZ organisation and they're all loving it and one has since been promoted to a Technical Lead.
149,Supply Chain Master Data Controller,Hunter Campbell Limited,1d ago,"Manufacturing, Transport & Logistics","Purchasing, Procurement & Inventory",Auckland,Auckland Central,,Contract Master Data controller required to maintain and keep a large catalogue up to date.
150,Marketing Analytics Coordinator | Smartly,Datacom,3d ago,Marketing & Communications,Market Research & Analysis,Wellington,Wellington Central,,"A bit about Smartly, a Datacom company  Smartly is proudly owned by Datacom, New Zealand’s largest IT company."
151,Process Improvement Reporting Analyst,Christchurch City Council,2d ago,Government & Defence,Government - Local,Canterbury,Christchurch,,We are seeking an energetic Process Improvement Reporting Analyst to add value to our high performing Continuous Improvement team.
152,Kaitātari/Kaitātari Matua | Analysts/Senior Analysts - Climate Change,Ministry for the Environment,10h ago,Government & Defence,"Policy, Planning & Regulation",Auckland,Auckland Central,,Seeking a number of Analysts and Senior Analysts with quantitative skills
153,Wholesale Transmission Analyst,Mercury,3d ago,"Mining, Resources & Energy",Analysis & Reporting,Waikato,Hamilton,,Lead transmission related activities in the Wholesale Markets Group while also providing analytical support to assist in decision making
154,Data Analyst,Lotto NZ,24d ago,Information & Communication Technology,Business/Systems Analysts,Auckland,Auckland Central,,Join Lotto NZ’s high performing Data & Analytics team!
155,Business Analyst,Recruit I.T. Auckland,7d ago,Information & Communication Technology,Business/Systems Analysts,Auckland,,,Ensure that systems and solutions that are developed or proposed meet the business requirements of the organisation.
156,Asset Risk Analyst - Residual Values,Customise Talent Group,1d ago,Banking & Financial Services,Analysis & Reporting,Auckland,Auckland Central,Salary + Incentive + Benefits Package,We are looking for an Analyst who wants to be part of the big picture and utilise your experience to provide insight and take ownership of this role!
157,SQL Developer,Imara Limited,9d ago,Information & Communication Technology,Engineering - Software,Auckland,Rodney & North Shore,"Neg based on experience. WFH, parking & travel.","Own SQL Dev for international Warehousing solutions provider on Akl Nth Shore. Big role, international travel & high performing team environment."
158,Data Engineer,Air New Zealand,8d ago,Information & Communication Technology,Engineering - Software,Auckland,Auckland Central,,We are hiring an intermediate data engineer who is very enthusiastic about data to focus on building structured and high-quality data solutions.
159,Real Time Analyst,Tribe (New Zealand) Limited,3d ago,Call Centre & Customer Service,Management & Support,Auckland,,,Experienced workforce/real time analyst for a leading Auckland based organisation! Tight knit team supporting contact centre in a 12 month FTC.
160,Design Analyst | Kaitātari Hoahoa,Stats NZ,14h ago,Government & Defence,Government,Canterbury,Christchurch,"$76,571.00 - $90,084.00 + superannuation","Okea te rerekeetanga e kitea nei e koe"" - be the change you want to see. Tūhono mai tatou mō te 2023 Tatauranga! Join us for the 2023 Census!"
161,Kaitātari/Kaitātari Matua | Analysts/Senior Analysts - Climate Change,Ministry for the Environment,10h ago,Government & Defence,"Policy, Planning & Regulation",Wellington,Wellington Central,,Seeking a number of Analysts and Senior Analysts with quantitative skills
162,Analyst Programmer,ANZ Banking group,2d ago,Information & Communication Technology,Developers/Programmers,Auckland,Auckland Central,,"Critical work, exciting projects and latest tech and a great culture in our payments team"
163,Business Analyst – Decision Management Platform,Westpac,1d ago,Information & Communication Technology,Business/Systems Analysts,Auckland,Auckland Central,,"The Decision Management Platform is a modern, cloud-based decision engine that is used for some of the bank’s critical operational processes."
164,EPMO Reporting Analyst,Momentum Consulting Group,9d ago,Information & Communication Technology,Programme & Project Management,Wellington,Wellington Central,,EPMO Reporting Analyst - Permanent position - Located in Central Wellington
165,Junior Data Engineer,New Zealand Health Group,16d ago,Information & Communication Technology,Engineering - Software,Auckland,Auckland Central,,We are looking for a motivated new grad to join our growing team in this newly created opportunity!!
166,Kaitātari/Kaitātari Matua | Analysts/Senior Analysts - Climate Change,Ministry for the Environment,10h ago,Government & Defence,"Policy, Planning & Regulation",Otago,Dunedin,,Seeking a number of Analysts and Senior Analysts with quantitative skills
167,Inventory and Demand Planning Analyst (Hybrid),Fisher & Paykel Appliances,1d ago,"Manufacturing, Transport & Logistics","Production, Planning & Scheduling",Auckland,Manukau & East Auckland,Competitive  + Fisher & Paykel Benefits,Join a global company and work alongside trusted experts to deliver a premium experience for our customers. Be part of the Innovation!
168,Data/Financial Analyst,Alliance Group Ltd,11d ago,Human Resources & Recruitment,Remuneration & Benefits,Auckland,Auckland Central,,"We are looking for an experienced Data/Financial Analyst to collect, collate and analyse various data sets."
169,Privacy Analyst - Compliance,ASB Bank Limited,10h ago,Banking & Financial Services,Analysis & Reporting,Auckland,Auckland Central,,Join one of NZ's top Employers and be part of the ASB and be part of it's growth journey to 'future fit' risk.
